50							
7000	6220	1000	2011	4	4	1	11
7001	8976	1005	2011	10	6	9	31
7002	5784	1010	2011	2	6	13	33
7003	8188	1015	2011	6	2	17	19
7004	8948	1020	2011	6	2	19	13
7005	1304	1025	2011	4	2	19	25
7006	3120	1030	2011	8	2	1	35
7007	7676	1035	2011	4	2	7	19
7008	6904	1040	2011	4	4	7	51
7009	3036	1045	2011	4	2	9	19
7010	6220	1001	2011	4	8	11	7
7011	8976	1006	2011	10	8	13	43
7012	5784	1011	2011	2	2	21	27
7013	8188	1016	2011	6	8	17	47
7014	8948	1021	2011	6	6	17	21
7015	1304	1026	2011	4	10	17	41
7016	3120	1031	2011	8	1	7	33
7017	7676	1036	2011	4	4	3	27
7018	6904	1041	2011	4	2	5	35
7019	3036	1046	2011	4	10	9	35
7020	6220	1002	2011	4	2	15	39
7021	8976	1007	2011	10	10	13	55
7022	5784	1012	2011	2	4	3	1
7023	8188	1017	2011	6	1	9	33
7024	8948	1022	2011	6	4	15	19
7025	1304	1027	2011	4	6	13	35
7026	3120	1032	2011	8	1	5	37
7027	7676	1037	2011	4	10	19	17
7028	6904	1042	2011	4	2	13	21
7029	3036	1047	2011	4	6	19	9
7030	6220	1003	2011	4	8	1	11
7031	8976	1008	2011	10	4	5	19
7032	5784	1013	2011	2	8	3	55
7033	8188	1018	2011	6	2	15	5
7034	8948	1023	2011	6	10	11	33
7035	1304	1028	2011	4	10	11	53
7036	3120	1033	2011	8	10	21	13
7037	7676	1038	2011	4	6	1	37
7038	6904	1043	2011	4	2	5	37
7039	3036	1048	2011	4	2	13	17
7040	6220	1004	2011	4	2	9	39
7041	8976	1009	2011	10	2	19	9
7042	5784	1014	2011	2	6	19	43
7043	8188	1019	2011	6	11	11	45
7044	8948	1024	2011	6	6	7	1
7045	1304	1029	2011	4	1	9	5
7046	3120	1034	2011	8	6	1	5
7047	7676	1039	2011	4	10	17	3
7048	6904	1044	2011	4	10	13	25
7049	3036	1049	2011	4	10	11	31
							
218			
A	7000	2834	1
B	7000	2934	1
A	7001	2712	1
B	7001	2834	1
C	7001	2889	1
D	7001	2659	1
A	7002	2934	1
B	7002	2760	1
A	7003	2173	1
B	7003	2834	1
C	7003	2760	1
D	7003	2834	1
A	7004	2015	1
B	7004	2712	1
C	7004	2834	1
D	7004	2980	1
E	7004	2659	1
F	7004	2760	1
G	7004	2980	1
H	7004	2889	1
A	7005	2712	1
B	7005	2659	1
C	7005	2173	1
D	7005	2209	1
E	7005	2712	1
A	7006	2526	1
B	7006	2760	1
C	7006	2834	1
A	7007	2934	1
A	7008	2760	1
B	7008	2889	1
C	7008	2526	1
D	7008	2712	1
E	7008	2712	1
F	7008	2980	1
A	7009	2173	1
B	7009	2980	1
C	7009	2760	1
D	7009	2760	1
E	7009	2889	1
F	7009	2526	1
A	7010	2834	1
B	7010	2934	1
C	7010	2526	1
D	7010	2526	1
A	7011	2934	1
B	7011	2526	1
C	7011	2760	1
A	7012	2173	1
B	7012	2889	1
C	7012	2173	1
D	7012	2659	1
A	7013	2173	1
B	7013	2889	1
C	7013	2209	1
D	7013	2015	1
E	7013	2712	1
A	7014	2934	1
B	7014	2834	1
C	7014	2760	1
D	7014	2712	1
E	7014	2934	1
F	7014	2015	1
A	7015	2760	1
B	7015	2209	1
C	7015	2760	1
D	7015	2173	1
E	7015	2173	1
F	7015	2760	1
G	7015	2889	1
A	7016	2760	1
B	7016	2209	1
A	7017	2526	1
B	7017	2209	1
C	7017	2889	1
A	7018	2980	1
B	7018	2209	1
C	7018	2934	1
D	7018	2209	1
A	7019	2712	1
B	7019	2526	1
C	7019	2173	1
D	7019	2834	1
E	7019	2760	1
A	7020	2659	1
B	7020	2209	1
C	7020	2173	1
D	7020	2015	1
E	7020	2889	1
F	7020	2659	1
G	7020	2980	1
A	7021	2209	1
B	7021	2980	1
C	7021	2712	1
A	7022	2526	1
B	7022	2980	1
C	7022	2834	1
D	7022	2659	1
E	7022	2015	1
F	7022	2980	1
